subject_id,T2_1 Set scale (0.5 cm): pixel_length,T2_1 Set scale (0.5 cm): x1,T2_1 Set scale (0.5 cm): x2,T2_1 Set scale (0.5 cm): y1,T2_1 Set scale (0.5 cm): y2,T2_1 Tegula length: length cm,T2_1 Tegula length: pixel_length,T2_1 Tegula length: x1,T2_1 Tegula length: x2,T2_1 Tegula length: y1,T2_1 Tegula length: y2,T3_1 Were you able to measure the bee?,genus,catalogNumber,scientificName,specificEpithet,originalFilename,subspecificEpithet
75817849,249.01,1878,2127,611,609,0.26,127.32,1815,1942,1136,1127,Yes,Hesperapis,EMEC1326525,Hesperapis arenicola,arenicola,EMEC1326525 Hesperapis arenicola.jpg,
75817850,250.0,1878,2128,608,607,0.28,138.18,1934,2072,1200,1193,Yes,Hesperapis,EMEC1326526,Hesperapis arenicola,arenicola,EMEC1326526 Hesperapis arenicola.jpg,
75817851,250.0,1882,2132,609,608,0.29,143.09,1918,2061,1233,1238,Yes,Hesperapis,EMEC1326527,Hesperapis arenicola,arenicola,EMEC1326527 Hesperapis arenicola.jpg,
75817852,248.0,1878,2126,602,602,0.19,96.02,1943,2039,1280,1278,Yes,Hesperapis,EMEC1326528,Hesperapis arenicola,arenicola,EMEC1326528 Hesperapis arenicola.jpg,
75817853,156.16,1930,2086,592,585,0.35,109.02,1922,2031,1354,1352,Yes,Hesperapis,EMEC1326529,Hesperapis arenicola,arenicola,EMEC1326529 Hesperapis arenicola.jpg,
75817854,148.05,1931,2079,606,602,0.35,104.0,1899,2003,1224,1225,Yes,Hesperapis,EMEC1326530,Hesperapis arenicola,arenicola,EMEC1326530 Hesperapis arenicola.jpg,
75817855,202.47,1925,2111,704,784,0.25,102.42,2050,2151,1194,1211,Yes,Hesperapis,EMEC1326531,Hesperapis arenicola,arenicola,EMEC1326531 Hesperapis arenicola.jpg,
75817856,153.0,2027,2180,576,575,0.41,125.9,2066,2191,1244,1259,Yes,Hesperapis,EMEC1326532,Hesperapis arenicola,arenicola,EMEC1326532 Hesperapis arenicola.jpg,
75817857,248.01,1930,2178,572,570,0.31,154.38,1859,2011,1330,1303,Yes,Hesperapis,EMEC1326533,Hesperapis arenicola,arenicola,EMEC1326533 Hesperapis arenicola.jpg,
75817858,253.0,1879,2132,596,596,0.23,114.07,1818,1932,1227,1231,Yes,Hesperapis,EMEC1326534,Hesperapis arenicola,arenicola,EMEC1326534 Hesperapis arenicola.jpg,
75817859,243.01,1885,2128,602,600,0.16,76.24,1855,1931,1191,1197,Yes,Hesperapis,EMEC1326535,Hesperapis arenicola,arenicola,EMEC1326535 Hesperapis arenicola.jpg,
75817860,253.01,1929,2182,602,600,0.23,118.02,1837,1955,1299,1297,Yes,Hesperapis,EMEC1326536,Hesperapis arenicola,arenicola,EMEC1326536 Hesperapis arenicola.jpg,
75817861,238.0,1888,2126,609,608,0.19,89.45,1935,2024,1231,1240,Yes,Hesperapis,EMEC1326537,Hesperapis arenicola,arenicola,EMEC1326537 Hesperapis arenicola.jpg,
75817862,250.01,1881,2131,609,607,0.24,122.04,1949,2071,1225,1222,Yes,Hesperapis,EMEC1326538,Hesperapis arenicola,arenicola,EMEC1326538 Hesperapis arenicola.jpg,
75817863,223.18,1895,2096,700,797,0.26,118.0,1903,2021,1289,1288,Yes,Hesperapis,EMEC1326539,Hesperapis arenicola,arenicola,EMEC1326539 Hesperapis arenicola.jpg,
75817864,251.01,1882,2133,608,606,0.22,108.19,1978,2085,1378,1362,Yes,Hesperapis,EMEC1326540,Hesperapis arenicola,arenicola,EMEC1326540 Hesperapis arenicola.jpg,
75817865,249.0,1879,2128,594,593,0.25,123.1,1904,2027,1284,1289,Yes,Hesperapis,EMEC1326541,Hesperapis arenicola,arenicola,EMEC1326541 Hesperapis arenicola.jpg,
75817866,248.0,1883,2131,616,615,0.22,107.07,1892,1999,1111,1107,Yes,Hesperapis,EMEC1326542,Hesperapis arenicola,arenicola,EMEC1326542 Hesperapis arenicola.jpg,
75817867,173.3,2087,2251,925,869,0.47,164.56,2105,2259,1444,1386,Yes,Hesperapis,EMEC1326543,Hesperapis arenicola,arenicola,EMEC1326543 Hesperapis arenicola.jpg,
75817868,147.01,1938,2085,602,600,0.09,26.02,1945,1971,1181,1182,Yes,Hesperapis,EMEC1326544,Hesperapis arenicola,arenicola,EMEC1326544 Hesperapis arenicola.jpg,
75817869,250.01,1883,2133,577,575,0.22,112.02,1923,2035,1260,1262,Yes,Hesperapis,EMEC1326545,Hesperapis arenicola,arenicola,EMEC1326545 Hesperapis arenicola.jpg,
75817870,247.0,1951,2198,615,614,0.2,100.0,1951,2051,1192,1193,Yes,Hesperapis,EMEC1326546,Hesperapis arenicola,arenicola,EMEC1326546 Hesperapis arenicola.jpg,
75817871,246.01,1832,2078,528,526,0.25,123.0,1823,1946,1231,1230,Yes,Hesperapis,EMEC1326547,Hesperapis arenicola,arenicola,EMEC1326547 Hesperapis arenicola.jpg,
75817872,248.02,1881,2129,609,606,0.12,62.0,1941,2003,1165,1165,Yes,Hesperapis,EMEC1326548,Hesperapis arenicola,arenicola,EMEC1326548 Hesperapis arenicola.jpg,
75817873,243.01,1884,2127,612,610,0.25,123.02,1908,2031,1225,1227,Yes,Hesperapis,EMEC1326549,Hesperapis arenicola,arenicola,EMEC1326549 Hesperapis arenicola.jpg,
75817874,247.0,1978,2225,615,616,0.15,72.03,2041,2113,1296,1294,Yes,Hesperapis,EMEC1326550,Hesperapis arenicola,arenicola,EMEC1326550 Hesperapis arenicola.jpg,
75817875,242.0,1886,2128,624,623,0.2,97.25,2025,2122,1304,1311,Yes,Hesperapis,EMEC1326551,Hesperapis arenicola,arenicola,EMEC1326551 Hesperapis arenicola.jpg,
75817876,250.0,1885,2135,607,606,0.26,130.0,1975,2105,1108,1108,Yes,Hesperapis,EMEC1326552,Hesperapis arenicola,arenicola,EMEC1326552 Hesperapis arenicola.jpg,
75817877,128.0,2020,2109,697,789,0.36,93.43,2083,2176,1262,1271,Yes,Hesperapis,EMEC1326553,Hesperapis arenicola,arenicola,EMEC1326553 Hesperapis arenicola.jpg,
75817878,249.0,1885,2134,598,597,0.24,117.72,2022,2139,1200,1213,Yes,Hesperapis,EMEC1326554,Hesperapis arenicola,arenicola,EMEC1326554 Hesperapis arenicola.jpg,
75817879,250.03,2018,2268,622,626,0.26,129.0,1924,2053,1271,1271,Yes,Hesperapis,EMEC1326555,Hesperapis arenicola,arenicola,EMEC1326555 Hesperapis arenicola.jpg,
75817880,149.0,1935,2084,606,607,0.41,123.2,1906,2029,1169,1176,Yes,Hesperapis,EMEC1326556,Hesperapis arenicola,arenicola,EMEC1326556 Hesperapis arenicola.jpg,
75817881,150.0,1933,2083,613,614,0.2,60.0,1793,1853,1225,1225,Yes,Hesperapis,EMEC1326557,Hesperapis arenicola,arenicola,EMEC1326557 Hesperapis arenicola.jpg,
75817882,250.0,1892,2142,616,615,0.23,115.43,1932,2047,1287,1297,Yes,Hesperapis,EMEC1326558,Hesperapis arenicola,arenicola,EMEC1326558 Hesperapis arenicola.jpg,
75817883,248.01,1886,2134,611,609,0.24,118.21,1927,2045,1218,1225,Yes,Hesperapis,EMEC1326559,Hesperapis arenicola,arenicola,EMEC1326559 Hesperapis arenicola.jpg,
75817884,252.05,1882,2134,601,596,0.23,117.07,1935,2052,1210,1206,Yes,Hesperapis,EMEC1326560,Hesperapis arenicola,arenicola,EMEC1326560 Hesperapis arenicola.jpg,
75817885,250.01,1882,2132,610,608,0.24,119.94,1931,2050,1116,1131,Yes,Hesperapis,EMEC1326561,Hesperapis arenicola,arenicola,EMEC1326561 Hesperapis arenicola.jpg,
75817886,349.46,2062,2392,1206,1091,0.27,187.26,2072,2253,1387,1339,Yes,Hesperapis,EMEC1326562,Hesperapis arenicola,arenicola,EMEC1326562 Hesperapis arenicola.jpg,
75817887,247.0,1881,2128,592,593,0.24,120.0,1842,1962,1251,1250,Yes,Hesperapis,EMEC1326563,Hesperapis arenicola,arenicola,EMEC1326563 Hesperapis arenicola.jpg,
75817888,149.0,1933,2082,602,602,0.39,117.02,1808,1925,1254,1252,Yes,Hesperapis,EMEC1326564,Hesperapis arenicola,arenicola,EMEC1326564 Hesperapis arenicola.jpg,
75817889,346.83,2089,2425,906,820,0.33,230.71,2193,2405,1456,1365,Yes,Hesperapis,EMEC1326565,Hesperapis arenicola,arenicola,EMEC1326565 Hesperapis arenicola.jpg,
75817890,248.05,1884,2132,586,581,0.24,120.6,1924,2044,1301,1313,Yes,Hesperapis,EMEC1326566,Hesperapis arenicola,arenicola,EMEC1326566 Hesperapis arenicola.jpg,
75817891,248.0,1883,2131,611,610,0.23,112.64,1830,1942,1318,1306,Yes,Hesperapis,EMEC1326567,Hesperapis arenicola,arenicola,EMEC1326567 Hesperapis arenicola.jpg,
75817892,251.0,1883,2134,617,617,0.22,112.54,1955,2067,1360,1349,Yes,Hesperapis,EMEC1326568,Hesperapis arenicola,arenicola,EMEC1326568 Hesperapis arenicola.jpg,
75817893,255.0,1981,2236,586,586,0.23,119.15,1998,2117,1214,1208,Yes,Hesperapis,EMEC1326569,Hesperapis arenicola,arenicola,EMEC1326569 Hesperapis arenicola.jpg,
75817894,246.03,1888,2134,617,613,0.25,123.2,1858,1981,1309,1316,Yes,Hesperapis,EMEC1326570,Hesperapis arenicola,arenicola,EMEC1326570 Hesperapis arenicola.jpg,
75817895,235.02,1882,2117,731,728,0.29,138.0,1899,2037,1298,1297,Yes,Hesperapis,EMEC1326571,Hesperapis arenicola,arenicola,EMEC1326571 Hesperapis arenicola.jpg,
75817896,249.01,1885,2134,594,592,0.26,128.14,1955,2083,1433,1427,Yes,Hesperapis,EMEC1326572,Hesperapis arenicola,arenicola,EMEC1326572 Hesperapis arenicola.jpg,
75817897,249.03,1884,2133,606,602,0.24,120.2,2006,2126,1265,1272,Yes,Hesperapis,EMEC1326573,Hesperapis arenicola,arenicola,EMEC1326573 Hesperapis arenicola.jpg,
75817898,248.01,1885,2133,606,604,0.22,107.0,1849,1956,1238,1238,Yes,Hesperapis,EMEC1326574,Hesperapis arenicola,arenicola,EMEC1326574 Hesperapis arenicola.jpg,
75817899,250.03,1881,2131,614,610,0.24,121.49,1941,2061,1215,1234,Yes,Hesperapis,EMEC1326575,Hesperapis arenicola,arenicola,EMEC1326575 Hesperapis arenicola.jpg,
75817900,246.0,1941,2187,596,595,0.33,161.81,2030,2189,1387,1417,No,Hesperapis,EMEC1326576,Hesperapis arenicola,arenicola,EMEC1326576 Hesperapis arenicola.jpg,
75817901,150.0,1931,2081,616,617,0.34,101.71,1962,2063,1252,1264,Yes,Hesperapis,EMEC1326577,Hesperapis arenicola,arenicola,EMEC1326577 Hesperapis arenicola.jpg,
75817902,244.05,1885,2129,613,608,0.19,95.13,1876,1971,1186,1181,Yes,Hesperapis,EMEC1326578,Hesperapis arenicola,arenicola,EMEC1326578 Hesperapis arenicola.jpg,
75817903,248.01,1886,2134,616,614,0.23,113.16,1915,2028,1232,1238,Yes,Hesperapis,EMEC1326579,Hesperapis arenicola,arenicola,EMEC1326579 Hesperapis arenicola.jpg,
75817904,147.65,1877,2007,695,765,0.24,70.01,1885,1950,1268,1242,Yes,Hesperapis,EMEC1326580,Hesperapis arenicola,arenicola,EMEC1326580 Hesperapis arenicola.jpg,
75817905,249.0,1883,2132,602,601,0.22,110.11,1933,2043,1314,1319,Yes,Hesperapis,EMEC1326581,Hesperapis arenicola,arenicola,EMEC1326581 Hesperapis arenicola.jpg,
75817906,251.0,1885,2136,600,600,0.25,126.32,1860,1986,1340,1349,Yes,Hesperapis,EMEC1326582,Hesperapis arenicola,arenicola,EMEC1326582 Hesperapis arenicola.jpg,
75817907,246.02,1886,2132,584,581,0.3,145.34,1907,2052,1345,1335,Yes,Hesperapis,EMEC1326583,Hesperapis arenicola,arenicola,EMEC1326583 Hesperapis arenicola.jpg,
75817908,257.01,1883,2140,592,590,0.31,157.01,1950,2107,1393,1391,Yes,Hesperapis,EMEC1326584,Hesperapis arenicola,arenicola,EMEC1326584 Hesperapis arenicola.jpg,
75817909,250.01,1835,2085,613,611,0.25,125.06,1865,1990,1249,1245,Yes,Hesperapis,EMEC1326585,Hesperapis arenicola,arenicola,EMEC1326585 Hesperapis arenicola.jpg,
75817910,251.02,1883,2134,601,598,0.25,125.1,1820,1945,1214,1209,Yes,Hesperapis,EMEC1326586,Hesperapis arenicola,arenicola,EMEC1326586 Hesperapis arenicola.jpg,
75817911,245.0,2417,2662,447,446,0.04,18.03,2394,2395,1096,1078,No,Hesperapis,EMEC1326587,Hesperapis arenicola,arenicola,EMEC1326587 Hesperapis arenicola.jpg,
75817912,246.01,2422,2668,415,417,0.09,46.69,2400,2408,1081,1127,No,Hesperapis,EMEC1326588,Hesperapis arenicola,arenicola,EMEC1326588 Hesperapis arenicola.jpg,
75817913,152.01,2465,2617,433,435,0.3,90.7,2375,2450,1061,1112,Yes,Hesperapis,EMEC1326589,Hesperapis arenicola,arenicola,EMEC1326589 Hesperapis arenicola.jpg,
75817914,241.0,2362,2603,428,429,0.16,76.9,2340,2357,1073,1148,Yes,Hesperapis,EMEC1326590,Hesperapis arenicola,arenicola,EMEC1326590 Hesperapis arenicola.jpg,
75817915,248.57,2464,2709,880,838,0.27,133.76,2574,2637,1401,1283,Yes,Hesperapis,EMEC1326591,Hesperapis arenicola,arenicola,EMEC1326591 Hesperapis arenicola.jpg,
75817916,245.01,2417,2662,437,439,0.04,19.42,2416,2420,1080,1061,Yes,Hesperapis,EMEC1326592,Hesperapis arenicola,arenicola,EMEC1326592 Hesperapis arenicola.jpg,
75817917,272.06,2313,2584,731,707,0.14,76.84,2360,2433,1067,1091,Yes,Hesperapis,EMEC1326593,Hesperapis arenicola,arenicola,EMEC1326593 Hesperapis arenicola.jpg,
75817918,253.75,2556,2794,854,766,0.17,85.0,2619,2670,1365,1297,Yes,Hesperapis,EMEC1326594,Hesperapis arenicola,arenicola,EMEC1326594 Hesperapis arenicola.jpg,
75817919,244.0,2355,2599,439,439,0.04,18.44,2293,2289,1126,1108,No,Hesperapis,EMEC1326595,Hesperapis arenicola,arenicola,EMEC1326595 Hesperapis arenicola.jpg,
75817920,146.0,2417,2563,450,449,0.24,69.12,2367,2350,1110,1043,Yes,Hesperapis,EMEC1326596,Hesperapis arenicola,arenicola,EMEC1326596 Hesperapis arenicola.jpg,
75817921,147.0,2466,2613,418,419,0.08,22.09,2371,2373,1103,1081,Yes,Hesperapis,EMEC1326597,Hesperapis arenicola,arenicola,EMEC1326597 Hesperapis arenicola.jpg,
75817922,146.0,2415,2561,450,450,0.1,29.07,2354,2352,1124,1153,Yes,Hesperapis,EMEC1326598,Hesperapis arenicola,arenicola,EMEC1326598 Hesperapis arenicola.jpg,
75817923,251.0,2366,2617,455,454,0.08,42.2,2394,2404,1088,1129,No,Hesperapis,EMEC1326599,Hesperapis arenicola,arenicola,EMEC1326599 Hesperapis arenicola.jpg,
75817924,295.01,2314,2609,446,444,0.14,84.65,2394,2415,984,1066,No,Hesperapis,EMEC1326600,Hesperapis arenicola,arenicola,EMEC1326600 Hesperapis arenicola.jpg,
75817925,247.02,2418,2665,448,445,0.01,6.08,2375,2376,1127,1121,Yes,Hesperapis,EMEC1326601,Hesperapis arenicola,arenicola,EMEC1326601 Hesperapis arenicola.jpg,
75817926,291.0,2379,2670,436,437,0.04,24.08,2347,2349,1062,1086,Yes,Hesperapis,EMEC1326602,Hesperapis arenicola,arenicola,EMEC1326602 Hesperapis arenicola.jpg,
75817927,246.0,2363,2609,443,442,0.02,10.2,2344,2342,1090,1080,No,Hesperapis,EMEC1326603,Hesperapis arenicola,arenicola,EMEC1326603 Hesperapis arenicola.jpg,
75817928,242.0,2326,2568,416,417,0.2,97.74,2339,2351,1036,1133,Yes,Hesperapis,EMEC1326604,Hesperapis arenicola,arenicola,EMEC1326604 Hesperapis arenicola.jpg,
75817929,239.05,2321,2560,443,438,0.13,64.33,2417,2404,1084,1021,Yes,Hesperapis,EMEC1326605,Hesperapis arenicola,arenicola,EMEC1326605 Hesperapis arenicola.jpg,
75817930,201.99,2328,2529,569,589,0.02,7.07,2248,2253,1106,1101,Yes,Hesperapis,EMEC1326606,Hesperapis arenicola,arenicola,EMEC1326606 Hesperapis arenicola.jpg,
75817931,243.0,2315,2558,357,357,0.17,82.22,2246,2252,1045,1127,Yes,Hesperapis,EMEC1326607,Hesperapis arenicola,arenicola,EMEC1326607 Hesperapis arenicola.jpg,
75817932,144.0,2470,2614,440,441,0.2,57.78,2396,2373,1128,1075,No,Hesperapis,EMEC1326608,Hesperapis arenicola,arenicola,EMEC1326608 Hesperapis arenicola.jpg,
75817933,244.0,2422,2666,433,432,0.06,30.41,2371,2366,1156,1186,Yes,Hesperapis,EMEC1326609,Hesperapis arenicola,arenicola,EMEC1326609 Hesperapis arenicola.jpg,
75817934,243.0,2422,2665,482,483,0.13,62.43,2410,2377,1099,1046,No,Hesperapis,EMEC1326610,Hesperapis arenicola,arenicola,EMEC1326610 Hesperapis arenicola.jpg,
75817935,245.01,2417,2662,447,449,0.03,14.56,2408,2404,1042,1028,Yes,Hesperapis,EMEC1326611,Hesperapis arenicola,arenicola,EMEC1326611 Hesperapis arenicola.jpg,
75817936,297.74,2323,2620,561,540,0.17,102.31,2313,2415,1073,1081,Yes,Hesperapis,EMEC1326612,Hesperapis arenicola,arenicola,EMEC1326612 Hesperapis arenicola.jpg,
75817937,236.0,2323,2559,480,481,0.17,80.78,2405,2480,1157,1127,Yes,Hesperapis,EMEC1326613,Hesperapis arenicola,arenicola,EMEC1326613 Hesperapis arenicola.jpg,
75817938,242.02,2422,2664,440,437,0.01,7.07,2349,2356,1090,1089,Yes,Hesperapis,EMEC1326614,Hesperapis arenicola,arenicola,EMEC1326614 Hesperapis arenicola.jpg,
75817939,242.02,2518,2760,386,383,0.19,93.41,2294,2368,1125,1182,Yes,Hesperapis,EMEC1326615,Hesperapis arenicola,arenicola,EMEC1326615 Hesperapis arenicola.jpg,
75817940,236.02,2412,2648,442,439,0.04,17.89,2370,2362,1161,1145,No,Hesperapis,EMEC1326616,Hesperapis arenicola,arenicola,EMEC1326616 Hesperapis arenicola.jpg,
75817941,286.01,2346,2632,565,563,0.18,100.18,2348,2354,1082,1182,Yes,Hesperapis,EMEC1326617,Hesperapis arenicola,arenicola,EMEC1326617 Hesperapis arenicola.jpg,
75817942,243.0,2358,2601,455,454,0.1,49.09,2313,2310,1122,1073,Yes,Hesperapis,EMEC1326618,Hesperapis arenicola,arenicola,EMEC1326618 Hesperapis arenicola.jpg,
75817943,247.0,2415,2662,414,415,0.1,51.01,2360,2359,1173,1122,No,Hesperapis,EMEC1326619,Hesperapis arenicola,arenicola,EMEC1326619 Hesperapis arenicola.jpg,
75817944,282.02,2333,2615,426,423,0.2,111.63,2371,2390,1090,1200,Yes,Hesperapis,EMEC1326620,Hesperapis arenicola,arenicola,EMEC1326620 Hesperapis arenicola.jpg,
75817945,198.71,2442,2639,559,585,0.26,102.96,2409,2499,1161,1111,Yes,Hesperapis,EMEC1326621,Hesperapis arenicola,arenicola,EMEC1326621 Hesperapis arenicola.jpg,
75817946,286.0,2324,2610,639,638,0.26,146.67,2439,2453,1044,1190,Yes,Hesperapis,EMEC1326622,Hesperapis arenicola,arenicola,EMEC1326622 Hesperapis arenicola.jpg,
75817947,145.0,2365,2510,531,531,0.04,11.0,2365,2365,1079,1068,Yes,Hesperapis,EMEC1326623,Hesperapis arenicola,arenicola,EMEC1326623 Hesperapis arenicola.jpg,
75817948,47.01,2413,2460,449,448,0.16,15.03,2347,2346,1147,1132,Yes,Hesperapis,EMEC1326624,Hesperapis arenicola,arenicola,EMEC1326624 Hesperapis arenicola.jpg,
75817949,149.0,2363,2512,450,450,0.2,60.21,2289,2301,1136,1077,Yes,Hesperapis,EMEC1326625,Hesperapis arenicola,arenicola,EMEC1326625 Hesperapis arenicola.jpg,
75817950,237.01,2369,2606,435,433,0.07,32.0,2318,2318,1089,1121,No,Hesperapis,EMEC1326626,Hesperapis arenicola,arenicola,EMEC1326626 Hesperapis arenicola.jpg,
75817951,147.0,2413,2560,437,437,0.34,99.25,2378,2371,1193,1094,No,Hesperapis,EMEC1326627,Hesperapis arenicola,arenicola,EMEC1326627 Hesperapis arenicola.jpg,
75817952,245.0,2362,2607,432,431,0.03,17.09,2320,2314,1167,1151,Yes,Hesperapis,EMEC1326628,Hesperapis arenicola,arenicola,EMEC1326628 Hesperapis arenicola.jpg,
75817953,248.01,2362,2610,445,443,0.06,28.28,2323,2327,1110,1138,Yes,Hesperapis,EMEC1326629,Hesperapis arenicola,arenicola,EMEC1326629 Hesperapis arenicola.jpg,
75817954,248.0,2362,2610,437,437,0.05,22.8,2295,2289,1222,1200,No,Hesperapis,EMEC1326630,Hesperapis arenicola,arenicola,EMEC1326630 Hesperapis arenicola.jpg,
75817955,146.0,2419,2565,450,451,0.08,22.02,2408,2409,1066,1088,Yes,Hesperapis,EMEC1326631,Hesperapis arenicola,arenicola,EMEC1326631 Hesperapis arenicola.jpg,
75817956,146.0,2367,2513,437,437,0.02,4.47,2279,2277,1095,1091,No,Hesperapis,EMEC1326632,Hesperapis arenicola,arenicola,EMEC1326632 Hesperapis arenicola.jpg,
75817957,245.0,2335,2580,537,536,0.04,19.24,2331,2328,1106,1125,Yes,Hesperapis,EMEC1326633,Hesperapis arenicola,arenicola,EMEC1326633 Hesperapis arenicola.jpg,
75817958,195.47,2403,2596,580,611,0.1,40.11,2388,2391,1154,1194,Yes,Hesperapis,EMEC1326634,Hesperapis arenicola,arenicola,EMEC1326634 Hesperapis arenicola.jpg,
75817959,243.0,2355,2598,430,431,0.07,32.14,2393,2390,1106,1138,Yes,Hesperapis,EMEC1326635,Hesperapis arenicola,arenicola,EMEC1326635 Hesperapis arenicola.jpg,
75817960,247.0,2363,2610,441,440,0.05,26.17,2326,2323,1085,1111,Yes,Hesperapis,EMEC1326636,Hesperapis arenicola,arenicola,EMEC1326636 Hesperapis arenicola.jpg,
75817961,154.0,2364,2518,441,441,0.12,37.05,2322,2324,1096,1133,No,Hesperapis,EMEC1326637,Hesperapis arenicola,arenicola,EMEC1326637 Hesperapis arenicola.jpg,
75817962,244.0,2366,2610,451,450,0.03,12.65,2361,2357,1160,1148,No,Hesperapis,EMEC1326638,Hesperapis arenicola,arenicola,EMEC1326638 Hesperapis arenicola.jpg,
75817963,150.0,2365,2515,446,446,0.31,93.77,2340,2352,1165,1072,No,Hesperapis,EMEC1326639,Hesperapis arenicola,arenicola,EMEC1326639 Hesperapis arenicola.jpg,
75817964,248.01,2368,2616,455,453,0.01,4.12,2327,2328,1081,1077,Yes,Hesperapis,EMEC1326640,Hesperapis arenicola,arenicola,EMEC1326640 Hesperapis arenicola.jpg,
75817965,144.0,2419,2563,450,449,0.18,53.15,2386,2426,1056,1021,Yes,Hesperapis,EMEC1326641,Hesperapis arenicola,arenicola,EMEC1326641 Hesperapis arenicola.jpg,
75817966,243.0,2335,2578,531,531,0.05,24.02,2358,2357,1114,1090,Yes,Hesperapis,EMEC1326642,Hesperapis arenicola,arenicola,EMEC1326642 Hesperapis arenicola.jpg,
75817967,243.0,2404,2647,451,451,0.11,52.39,2407,2395,1058,1007,Yes,Hesperapis,EMEC1326643,Hesperapis arenicola,arenicola,EMEC1326643 Hesperapis arenicola.jpg,
75817968,243.02,2366,2609,450,447,0.06,28.0,2334,2334,1112,1140,Yes,Hesperapis,EMEC1326644,Hesperapis arenicola,arenicola,EMEC1326644 Hesperapis arenicola.jpg,
75817969,191.01,2418,2609,448,450,0.11,42.95,2379,2388,1093,1135,No,Hesperapis,EMEC1326645,Hesperapis arenicola,arenicola,EMEC1326645 Hesperapis arenicola.jpg,
75817970,241.0,2371,2612,423,423,0.15,70.49,2320,2380,1153,1116,Yes,Hesperapis,EMEC1326646,Hesperapis arenicola,arenicola,EMEC1326646 Hesperapis arenicola.jpg,
75817971,244.01,2366,2610,445,443,0.04,21.02,2349,2348,1114,1135,Yes,Hesperapis,EMEC1326647,Hesperapis arenicola,arenicola,EMEC1326647 Hesperapis arenicola.jpg,
75817972,308.01,2364,2672,630,633,0.04,23.77,2418,2441,1089,1095,Yes,Hesperapis,EMEC1326648,Hesperapis arenicola,arenicola,EMEC1326648 Hesperapis arenicola.jpg,
75817973,242.01,2367,2609,447,445,0.13,61.03,2323,2304,1176,1118,No,Hesperapis,EMEC1326649,Hesperapis arenicola,arenicola,EMEC1326649 Hesperapis arenicola.jpg,
75817974,148.03,2420,2568,432,429,0.08,24.74,2326,2332,1071,1095,Yes,Hesperapis,EMEC1326650,Hesperapis arenicola,arenicola,EMEC1326650 Hesperapis arenicola.jpg,
75817975,243.0,2420,2663,446,447,0.03,12.53,2324,2318,1094,1083,No,Hesperapis,EMEC1326651,Hesperapis arenicola,arenicola,EMEC1326651 Hesperapis arenicola.jpg,
75817976,276.5,2621,2878,841,739,0.33,185.15,2690,2724,1541,1359,No,Hesperapis,EMEC1326652,Hesperapis arenicola,arenicola,EMEC1326652 Hesperapis arenicola.jpg,
75817977,260.0,2324,2584,454,454,0.06,29.97,2303,2290,1150,1177,Yes,Hesperapis,EMEC1326653,Hesperapis arenicola,arenicola,EMEC1326653 Hesperapis arenicola.jpg,
75817978,148.01,2378,2526,479,477,0.09,26.08,2302,2300,1126,1100,Yes,Hesperapis,EMEC1326654,Hesperapis arenicola,arenicola,EMEC1326654 Hesperapis arenicola.jpg,
75817979,267.08,2323,2589,551,527,0.14,75.11,2361,2365,1100,1175,Yes,Hesperapis,EMEC1326655,Hesperapis arenicola,arenicola,EMEC1326655 Hesperapis arenicola.jpg,
75817980,249.0,2365,2614,444,443,0.2,100.26,2297,2360,1155,1077,Yes,Hesperapis,EMEC1326656,Hesperapis arenicola,arenicola,EMEC1326656 Hesperapis arenicola.jpg,
75817981,247.0,2372,2619,436,435,0.15,75.06,2292,2295,1097,1172,Yes,Hesperapis,EMEC1326657,Hesperapis arenicola,arenicola,EMEC1326657 Hesperapis arenicola.jpg,
75817982,194.0,2276,2470,466,466,0.04,16.64,2328,2319,1209,1195,No,Hesperapis,EMEC1326658,Hesperapis arenicola,arenicola,EMEC1326658 Hesperapis arenicola.jpg,
75817983,252.0,2366,2618,430,429,0.17,87.09,2425,2429,1120,1207,Yes,Hesperapis,EMEC1326659,Hesperapis arenicola,arenicola,EMEC1326659 Hesperapis arenicola.jpg,
75817984,245.0,2422,2667,449,450,0.12,61.2,2420,2425,1135,1074,Yes,Hesperapis,EMEC1326660,Hesperapis arenicola,arenicola,EMEC1326660 Hesperapis arenicola.jpg,
75817985,243.01,2370,2613,440,438,0.17,83.02,2377,2390,1030,1112,Yes,Hesperapis,EMEC1326661,Hesperapis arenicola,arenicola,EMEC1326661 Hesperapis arenicola.jpg,
75817986,293.03,2281,2574,610,606,0.12,71.02,2376,2388,1084,1154,Yes,Hesperapis,EMEC1326662,Hesperapis arenicola,arenicola,EMEC1326662 Hesperapis arenicola.jpg,
75817987,242.01,2319,2561,405,403,0.03,15.62,2349,2339,1144,1132,Yes,Hesperapis,EMEC1326663,Hesperapis arenicola,arenicola,EMEC1326663 Hesperapis arenicola.jpg,
75817988,263.0,2359,2622,665,666,0.05,26.0,2466,2456,1232,1208,Yes,Hesperapis,EMEC1326664,Hesperapis arenicola,arenicola,EMEC1326664 Hesperapis arenicola.jpg,
75817989,246.07,2373,2619,426,420,0.08,41.05,2332,2330,1162,1203,Yes,Hesperapis,EMEC1326665,Hesperapis arenicola,arenicola,EMEC1326665 Hesperapis arenicola.jpg,
75817990,142.0,2485,2627,410,409,0.02,6.4,2417,2413,1177,1172,No,Hesperapis,EMEC1326666,Hesperapis arenicola,arenicola,EMEC1326666 Hesperapis arenicola.jpg,
